36-->108:UNSAT, time: 3.98565483093
38-->108:UNSAT, time: 4.03180003166
130-->67:SolFound, time: 14.3237309456
97-->0:UNSAT, time: 6.02157187462
171-->0:SolFound, time: 5.79271507263
106-->0:UNSAT, time: 35.3488759995
80-->85:SolFound, time: 217.205841064
80-->87:SolFound, time: 257.59926796
107-->0:SolFound, time: 36.0558760166
170-->0:UNSAT, time: 44.1057159901
147-->177:UNSAT, time: 1.992415905
153-->53:UNSAT, time: 0.895743131638
152-->53:SolFound, time: 1.88013601303
154-->52:SolFound, time: 52.2698860168
147-->146:SolFound, time: 1.71944212914
154-->53:SolFound, time: 30.0580401421
79-->83:UNSAT, time: 7.08170700073
153-->52:SolFound, time: 77.6118969917
79-->82:UNSAT, time: 26.7926130295
79-->80:SolFound, time: 23.1876070499
105-->107:UNSAT, time: 5.88232302666
106-->107:UNSAT, time: 3.02055597305
170-->171:UNSAT, time: 44.8019979
53-->86:UNSAT, time: 489.711066008
170-->107:SolFound, time: 76.7295720577
153-->78:UNSAT, time: 147.425462008
106-->170:UNSAT, time: 24.4316718578
169-->170:UNSAT, time: 28.0540418625
130-->87:SolFound, time: 494.177839041
80-->84:SolFound, time: 546.802515984
123-->187:UNSAT, time: 38388.2263429
============ Time: 38716.094393 ============
